machine_id,vibration,temperature,pressure,up_time,down_time,status,last_maintenance_date,factory_id
M025,2.07,68,177,9054,71,Needs Maintenance,2024-09-16,6
M010,1.13,120,182,7579,0,Operational,2024-08-23,6
M002,2.8,95,102,5011,46,Failed,2024-07-28,6
M003,1.13,113,107,4038,55,Failed,2024-06-25,6
M048,1.09,102,194,5087,0,Operational,2024-07-05,6
M039,2.71,63,109,7048,0,Operational,2024-01-19,6
M017,2.2,101,123,8681,0,Operational,2024-02-10,7
M014,0.57,84,109,9624,0,Operational,2024-06-28,7
M047,0.73,118,152,6104,98,Needs Maintenance,2024-07-07,7
M017,2.2,101,123,8681,0,Operational,2024-05-19,7
M012,0.45,109,172,7876,0,Operational,2024-10-08,7
M044,2.5,105,152,2105,50,Failed,2024-09-19,7
M050,2.26,77,184,7966,0,Operational,2024-08-28,7
M019,2.05,114,159,8781,0,Operational,2024-01-31,7
M040,2.95,75,176,6559,57,Needs Maintenance,2024-10-20,7
M013,1.69,61,179,8845,0,Operational,2024-09-03,7
M048,1.09,102,194,5087,0,Operational,2024-07-29,8
M031,0.53,97,142,6378,0,Operational,2024-01-16,8
M035,1.25,78,172,2345,8,Needs Maintenance,2024-11-12,8
M034,2.71,120,193,2864,35,Needs Maintenance,2024-12-03,8
M013,1.69,61,179,8845,0,Operational,2024-07-05,8
M035,1.25,78,172,2345,8,Needs Maintenance,2024-04-28,8
M023,0.52,81,165,3727,17,Failed,2024-04-01,8
M023,0.52,81,165,3727,17,Failed,2024-03-24,8
M038,2.06,117,101,1139,0,Operational,2024-05-11,8
M021,0.39,76,153,4004,52,Failed,2024-03-17,8
M028,2.67,101,115,2787,27,Failed,2024-06-22,9
M021,0.39,76,153,4004,52,Failed,2024-10-03,9
M023,0.52,81,165,3727,17,Failed,2024-06-26,9
M042,2.79,79,143,7480,0,Operational,2024-04-03,9
M011,1.96,85,106,8906,0,Operational,2024-04-01,9
M021,0.39,76,153,4004,52,Failed,2024-02-16,9
M050,2.26,77,184,7966,0,Operational,2024-12-23,9
M024,0.54,91,187,9145,0,Operational,2024-10-11,9
M035,1.25,78,172,2345,8,Needs Maintenance,2024-08-15,9
M023,0.52,81,165,3727,17,Failed,2024-01-06,9
M029,1.27,98,108,4450,27,Failed,2024-07-26,10
M019,2.05,114,159,8781,0,Operational,2024-11-18,10
M039,2.71,63,109,7048,0,Operational,2024-06-18,10
M045,2.18,72,181,3275,0,Operational,2024-11-11,10
M030,2.08,101,174,2970,74,Needs Maintenance,2024-10-29,10
M001,0.59,77,181,4250,75,Needs Maintenance,2024-12-27,10
M050,2.26,77,184,7966,0,Operational,2024-09-02,10
M005,1.26,84,178,6414,0,Operational,2024-10-16,10
M017,2.2,101,123,8681,0,Operational,2024-03-03,10
M049,0.34,92,144,3120,0,Operational,2024-04-13,10
M017,2.2,101,123,8681,0,Operational,2024-07-29,11
M016,0.67,73,198,9188,0,Operational,2024-11-30,11
M015,2.32,99,166,8487,0,Operational,2024-12-03,11
M002,2.8,95,102,5011,46,Failed,2024-03-15,11
M010,1.13,120,182,7579,0,Operational,2024-07-10,11
M045,2.18,72,181,3275,0,Operational,2024-02-09,11
M021,0.39,76,153,4004,52,Failed,2024-08-14,11
M037,1.21,112,160,8591,85,Failed,2024-01-07,11
M001,0.59,77,181,4250,75,Needs Maintenance,2024-04-08,11
M025,2.07,68,177,9054,71,Needs Maintenance,2024-10-11,11
M050,2.26,77,184,7966,0,Operational,2024-11-04,12
M019,2.05,114,159,8781,0,Operational,2024-03-13,12
M049,0.34,92,144,3120,0,Operational,2024-07-24,12
M032,0.67,71,198,3685,44,Needs Maintenance,2024-09-22,12
M020,0.65,62,132,1738,0,Operational,2024-02-14,12
M035,1.25,78,172,2345,8,Needs Maintenance,2024-03-22,12
M005,1.26,84,178,6414,0,Operational,2024-03-08,12
M033,2.45,113,128,3782,23,Failed,2024-01-08,12
M022,0.68,107,123,5729,90,Failed,2024-11-27,12
M021,0.39,76,153,4004,52,Failed,2024-08-23,12
M017,2.2,101,123,8681,0,Operational,2024-11-11,13
M042,2.79,79,143,7480,0,Operational,2024-05-01,13
M042,2.79,79,143,7480,0,Operational,2024-11-30,13
M017,2.2,101,123,8681,0,Operational,2024-10-14,13
M017,2.2,101,123,8681,0,Operational,2024-09-11,13
M001,0.59,77,181,4250,75,Needs Maintenance,2024-07-30,13
M036,0.62,61,113,3618,0,Operational,2024-10-14,13
M007,2.85,64,105,5697,80,Needs Maintenance,2024-07-13,13
M015,2.32,99,166,8487,0,Operational,2024-08-29,13
M046,0.28,102,147,3545,38,Needs Maintenance,2024-08-25,13
M007,2.85,64,105,5697,80,Needs Maintenance,2024-11-11,14
M018,2.69,93,178,5200,0,Operational,2024-10-16,14
M012,0.45,109,172,7876,0,Operational,2024-08-28,14
M024,0.54,91,187,9145,0,Operational,2024-10-23,14
M012,0.45,109,172,7876,0,Operational,2024-11-23,14
M018,2.69,93,178,5200,0,Operational,2024-02-20,14
M002,2.8,95,102,5011,46,Failed,2024-03-28,14
M004,1.74,89,176,7578,100,Failed,2024-06-09,14
M015,2.32,99,166,8487,0,Operational,2024-12-20,14
M035,1.25,78,172,2345,8,Needs Maintenance,2024-10-24,14
M005,1.26,84,178,6414,0,Operational,2024-09-27,15
M041,0.4,112,148,8699,75,Needs Maintenance,2024-10-20,15
M047,0.73,118,152,6104,98,Needs Maintenance,2024-01-23,15
M012,0.45,109,172,7876,0,Operational,2024-07-18,15
M009,0.3,79,128,4982,78,Needs Maintenance,2024-01-06,15
M036,0.62,61,113,3618,0,Operational,2024-03-12,15
M004,1.74,89,176,7578,100,Failed,2024-07-08,15
M046,0.28,102,147,3545,38,Needs Maintenance,2024-03-20,15
M006,1.62,67,190,9020,0,Operational,2024-11-12,15
M023,0.52,81,165,3727,17,Failed,2024-03-17,15
M001,0.59,77,181,4250,75,Needs Maintenance,2024-08-25,16
M017,2.2,101,123,8681,0,Operational,2024-06-16,16
M036,0.62,61,113,3618,0,Operational,2024-03-19,16
M019,2.05,114,159,8781,0,Operational,2024-10-10,16
M013,1.69,61,179,8845,0,Operational,2024-11-25,16
M012,0.45,109,172,7876,0,Operational,2024-09-19,16
M015,2.32,99,166,8487,0,Operational,2024-01-11,16
M046,0.28,102,147,3545,38,Needs Maintenance,2024-10-20,16
M002,2.8,95,102,5011,46,Failed,2024-08-12,16
M046,0.28,102,147,3545,38,Needs Maintenance,2024-03-12,16
M018,2.69,93,178,5200,0,Operational,2024-08-22,17
M046,0.28,102,147,3545,38,Needs Maintenance,2024-09-29,17
M002,2.8,95,102,5011,46,Failed,2024-10-29,17
M001,0.59,77,181,4250,75,Needs Maintenance,2024-06-20,17
M003,1.13,113,107,4038,55,Failed,2024-09-04,17
M003,1.13,113,107,4038,55,Failed,2024-10-21,17
M016,0.67,73,198,9188,0,Operational,2024-12-30,17
M046,0.28,102,147,3545,38,Needs Maintenance,2024-01-16,17
M046,0.28,102,147,3545,38,Needs Maintenance,2024-09-13,17
M026,0.37,109,131,3285,15,Failed,2024-10-18,17
M023,0.52,81,165,3727,17,Failed,2024-11-22,18
M041,0.4,112,148,8699,75,Needs Maintenance,2024-05-06,18
M006,1.62,67,190,9020,0,Operational,2024-07-03,18
M044,2.5,105,152,2105,50,Failed,2024-06-09,18
M047,0.73,118,152,6104,98,Needs Maintenance,2024-11-15,18
M038,2.06,117,101,1139,0,Operational,2024-02-17,18
M049,0.34,92,144,3120,0,Operational,2024-10-16,18
M045,2.18,72,181,3275,0,Operational,2024-05-16,18
M014,0.57,84,109,9624,0,Operational,2024-11-09,18
M049,0.34,92,144,3120,0,Operational,2024-09-11,18
M016,0.67,73,198,9188,0,Operational,2024-10-18,19
M036,0.62,61,113,3618,0,Operational,2024-11-19,19
M028,2.67,101,115,2787,27,Failed,2024-08-03,19
M032,0.67,71,198,3685,44,Needs Maintenance,2024-12-07,19
M041,0.4,112,148,8699,75,Needs Maintenance,2024-02-10,19
M030,2.08,101,174,2970,74,Needs Maintenance,2024-07-02,19
M041,0.4,112,148,8699,75,Needs Maintenance,2024-04-24,19
M041,0.4,112,148,8699,75,Needs Maintenance,2024-03-05,19
M001,0.59,77,181,4250,75,Needs Maintenance,2024-01-25,19
M010,1.13,120,182,7579,0,Operational,2024-10-25,19
M025,2.07,68,177,9054,71,Needs Maintenance,2024-10-04,20
M001,0.59,77,181,4250,75,Needs Maintenance,2024-07-10,20
M042,2.79,79,143,7480,0,Operational,2024-12-02,20
M033,2.45,113,128,3782,23,Failed,2024-05-24,20
M050,2.26,77,184,7966,0,Operational,2024-10-10,20
M029,1.27,98,108,4450,27,Failed,2024-03-03,20
M041,0.4,112,148,8699,75,Needs Maintenance,2024-05-29,20
M020,0.65,62,132,1738,0,Operational,2024-01-02,20
M016,0.67,73,198,9188,0,Operational,2024-04-07,20
M048,1.09,102,194,5087,0,Operational,2024-01-31,20
M050,2.26,77,184,7966,0,Operational,2024-05-15,21
M026,0.37,109,131,3285,15,Failed,2024-09-21,21
M045,2.18,72,181,3275,0,Operational,2024-11-16,21
M032,0.67,71,198,3685,44,Needs Maintenance,2024-12-26,21
M012,0.45,109,172,7876,0,Operational,2024-11-26,21
M003,1.13,113,107,4038,55,Failed,2024-08-20,21
M030,2.08,101,174,2970,74,Needs Maintenance,2024-12-23,21
M029,1.27,98,108,4450,27,Failed,2024-12-07,21
M038,2.06,117,101,1139,0,Operational,2024-02-11,21
M040,2.95,75,176,6559,57,Needs Maintenance,2024-11-15,21
M005,1.26,84,178,6414,0,Operational,2024-01-18,22
M032,0.67,71,198,3685,44,Needs Maintenance,2024-05-14,22
M024,0.54,91,187,9145,0,Operational,2024-02-23,22
M040,2.95,75,176,6559,57,Needs Maintenance,2024-11-05,22
M037,1.21,112,160,8591,85,Failed,2024-07-02,22
M004,1.74,89,176,7578,100,Failed,2024-06-22,22
M035,1.25,78,172,2345,8,Needs Maintenance,2024-02-08,22
M038,2.06,117,101,1139,0,Operational,2024-02-24,22
M041,0.4,112,148,8699,75,Needs Maintenance,2024-08-10,22
M043,2.86,108,141,2442,41,Failed,2024-11-07,22
M014,0.57,84,109,9624,0,Operational,2024-04-16,23
M035,1.25,78,172,2345,8,Needs Maintenance,2024-08-30,23
M025,2.07,68,177,9054,71,Needs Maintenance,2024-10-21,23
M045,2.18,72,181,3275,0,Operational,2024-11-08,23
M008,2.95,100,149,5055,86,Failed,2024-09-10,23
M028,2.67,101,115,2787,27,Failed,2024-05-08,23
M032,0.67,71,198,3685,44,Needs Maintenance,2024-12-03,23
M014,0.57,84,109,9624,0,Operational,2024-12-30,23
M002,2.8,95,102,5011,46,Failed,2024-07-28,23
M012,0.45,109,172,7876,0,Operational,2024-07-09,23
M022,0.68,107,123,5729,90,Failed,2024-09-03,24
M035,1.25,78,172,2345,8,Needs Maintenance,2024-08-15,24
M003,1.13,113,107,4038,55,Failed,2024-09-23,24
M031,0.53,97,142,6378,0,Operational,2024-09-27,24
M011,1.96,85,106,8906,0,Operational,2024-11-06,24
M026,0.37,109,131,3285,15,Failed,2024-08-12,24
M033,2.45,113,128,3782,23,Failed,2024-04-29,24
M046,0.28,102,147,3545,38,Needs Maintenance,2024-03-19,24
M050,2.26,77,184,7966,0,Operational,2024-03-21,24
M022,0.68,107,123,5729,90,Failed,2024-04-20,24
M002,2.8,95,102,5011,46,Failed,2024-12-26,25
M003,1.13,113,107,4038,55,Failed,2024-01-10,25
M020,0.65,62,132,1738,0,Operational,2024-08-18,25
M008,2.95,100,149,5055,86,Failed,2024-11-27,25
M045,2.18,72,181,3275,0,Operational,2024-07-31,25
M037,1.21,112,160,8591,85,Failed,2024-07-23,25
M021,0.39,76,153,4004,52,Failed,2024-11-27,25
M002,2.8,95,102,5011,46,Failed,2024-06-12,25
M022,0.68,107,123,5729,90,Failed,2024-04-20,25
M034,2.71,120,193,2864,35,Needs Maintenance,2024-07-06,25
M039,2.71,63,109,7048,0,Operational,2024-02-02,26
M001,0.59,77,181,4250,75,Needs Maintenance,2024-03-07,26
M024,0.54,91,187,9145,0,Operational,2024-06-07,26
M016,0.67,73,198,9188,0,Operational,2024-06-09,26
M035,1.25,78,172,2345,8,Needs Maintenance,2024-09-09,26
M048,1.09,102,194,5087,0,Operational,2024-08-17,26
M027,0.36,102,146,9776,66,Failed,2024-10-15,26
M020,0.65,62,132,1738,0,Operational,2024-08-31,26
M044,2.5,105,152,2105,50,Failed,2024-01-15,26
M007,2.85,64,105,5697,80,Needs Maintenance,2024-08-08,26
M025,2.07,68,177,9054,71,Needs Maintenance,2024-01-16,27
M040,2.95,75,176,6559,57,Needs Maintenance,2024-03-17,27
M010,1.13,120,182,7579,0,Operational,2024-11-24,27
M031,0.53,97,142,6378,0,Operational,2024-07-14,27
M004,1.74,89,176,7578,100,Failed,2024-01-14,27
M028,2.67,101,115,2787,27,Failed,2024-11-12,27
M011,1.96,85,106,8906,0,Operational,2024-04-22,27
M040,2.95,75,176,6559,57,Needs Maintenance,2024-11-05,27
M048,1.09,102,194,5087,0,Operational,2024-11-08,27
M040,2.95,75,176,6559,57,Needs Maintenance,2024-01-12,27
M016,0.67,73,198,9188,0,Operational,2024-06-05,28
M012,0.45,109,172,7876,0,Operational,2024-09-26,28
M013,1.69,61,179,8845,0,Operational,2024-09-30,28
M031,0.53,97,142,6378,0,Operational,2024-08-03,28
M015,2.32,99,166,8487,0,Operational,2024-08-09,28
M014,0.57,84,109,9624,0,Operational,2024-06-22,28
M023,0.52,81,165,3727,17,Failed,2024-01-10,28
M039,2.71,63,109,7048,0,Operational,2024-06-07,28
M041,0.4,112,148,8699,75,Needs Maintenance,2024-04-16,28
M025,2.07,68,177,9054,71,Needs Maintenance,2024-03-05,28
M046,0.28,102,147,3545,38,Needs Maintenance,2024-10-24,29
M009,0.3,79,128,4982,78,Needs Maintenance,2024-01-30,29
M018,2.69,93,178,5200,0,Operational,2024-04-10,29
M002,2.8,95,102,5011,46,Failed,2024-06-16,29
M042,2.79,79,143,7480,0,Operational,2024-07-06,29
M004,1.74,89,176,7578,100,Failed,2024-04-23,29
M019,2.05,114,159,8781,0,Operational,2024-09-15,29
M037,1.21,112,160,8591,85,Failed,2024-05-26,29
M035,1.25,78,172,2345,8,Needs Maintenance,2024-02-16,29
M036,0.62,61,113,3618,0,Operational,2024-08-02,29
M010,1.13,120,182,7579,0,Operational,2024-10-19,30
M046,0.28,102,147,3545,38,Needs Maintenance,2024-06-12,30
M029,1.27,98,108,4450,27,Failed,2024-11-06,30
M036,0.62,61,113,3618,0,Operational,2024-10-04,30
M012,0.45,109,172,7876,0,Operational,2024-04-19,30
M026,0.37,109,131,3285,15,Failed,2024-12-09,30
M035,1.25,78,172,2345,8,Needs Maintenance,2024-08-25,30
M040,2.95,75,176,6559,57,Needs Maintenance,2024-09-20,30
M029,1.27,98,108,4450,27,Failed,2024-04-20,30
M044,2.5,105,152,2105,50,Failed,2024-02-07,30
M027,0.36,102,146,9776,66,Failed,2024-09-14,31
M040,2.95,75,176,6559,57,Needs Maintenance,2024-12-11,31
M016,0.67,73,198,9188,0,Operational,2024-01-24,31
M021,0.39,76,153,4004,52,Failed,2024-09-17,31
M010,1.13,120,182,7579,0,Operational,2024-09-09,31
M024,0.54,91,187,9145,0,Operational,2024-06-03,31
M046,0.28,102,147,3545,38,Needs Maintenance,2024-01-13,31
M032,0.67,71,198,3685,44,Needs Maintenance,2024-02-12,31
M039,2.71,63,109,7048,0,Operational,2024-06-23,31
M020,0.65,62,132,1738,0,Operational,2024-09-15,31
M029,1.27,98,108,4450,27,Failed,2024-01-11,32
M024,0.54,91,187,9145,0,Operational,2024-10-23,32
M024,0.54,91,187,9145,0,Operational,2024-02-24,32
M020,0.65,62,132,1738,0,Operational,2024-04-07,32
M019,2.05,114,159,8781,0,Operational,2024-11-09,32
M017,2.2,101,123,8681,0,Operational,2024-03-03,32
M043,2.86,108,141,2442,41,Failed,2024-07-08,32
M017,2.2,101,123,8681,0,Operational,2024-08-13,32
M021,0.39,76,153,4004,52,Failed,2024-06-21,32
M039,2.71,63,109,7048,0,Operational,2024-06-01,32
M025,2.07,68,177,9054,71,Needs Maintenance,2024-07-25,33
M014,0.57,84,109,9624,0,Operational,2024-10-12,33
M037,1.21,112,160,8591,85,Failed,2024-01-17,33
M016,0.67,73,198,9188,0,Operational,2024-02-11,33
M042,2.79,79,143,7480,0,Operational,2024-08-23,33
M025,2.07,68,177,9054,71,Needs Maintenance,2024-07-03,33
M028,2.67,101,115,2787,27,Failed,2024-08-09,33
M031,0.53,97,142,6378,0,Operational,2024-04-13,33
M010,1.13,120,182,7579,0,Operational,2024-10-16,33
M026,0.37,109,131,3285,15,Failed,2024-07-20,33
M023,0.52,81,165,3727,17,Failed,2024-09-20,34
M032,0.67,71,198,3685,44,Needs Maintenance,2024-07-18,34
M004,1.74,89,176,7578,100,Failed,2024-01-31,34
M041,0.4,112,148,8699,75,Needs Maintenance,2024-09-16,34
M041,0.4,112,148,8699,75,Needs Maintenance,2024-09-11,34
M038,2.06,117,101,1139,0,Operational,2024-05-17,34
M032,0.67,71,198,3685,44,Needs Maintenance,2024-02-11,34
M039,2.71,63,109,7048,0,Operational,2024-12-05,34
M001,0.59,77,181,4250,75,Needs Maintenance,2024-07-25,34
M034,2.71,120,193,2864,35,Needs Maintenance,2024-02-07,34
M014,0.57,84,109,9624,0,Operational,2024-03-19,35
M027,0.36,102,146,9776,66,Failed,2024-01-28,35
M020,0.65,62,132,1738,0,Operational,2024-09-13,35
M009,0.3,79,128,4982,78,Needs Maintenance,2024-12-01,35
M047,0.73,118,152,6104,98,Needs Maintenance,2024-07-20,35
M015,2.32,99,166,8487,0,Operational,2024-12-23,35
M047,0.73,118,152,6104,98,Needs Maintenance,2024-07-09,35
M046,0.28,102,147,3545,38,Needs Maintenance,2024-11-02,35
M013,1.69,61,179,8845,0,Operational,2024-03-18,35
M045,2.18,72,181,3275,0,Operational,2024-06-12,35
M013,1.69,61,179,8845,0,Operational,2024-03-05,36
M007,2.85,64,105,5697,80,Needs Maintenance,2024-08-09,36
M029,1.27,98,108,4450,27,Failed,2024-11-02,36
M039,2.71,63,109,7048,0,Operational,2024-07-09,36
M038,2.06,117,101,1139,0,Operational,2024-04-15,36
M043,2.86,108,141,2442,41,Failed,2024-06-14,36
M026,0.37,109,131,3285,15,Failed,2024-04-18,36
M040,2.95,75,176,6559,57,Needs Maintenance,2024-11-18,36
M026,0.37,109,131,3285,15,Failed,2024-01-04,36
M019,2.05,114,159,8781,0,Operational,2024-10-06,36
M022,0.68,107,123,5729,90,Failed,2024-03-08,37
M037,1.21,112,160,8591,85,Failed,2024-06-22,37
M049,0.34,92,144,3120,0,Operational,2024-10-08,37
M050,2.26,77,184,7966,0,Operational,2024-11-22,37
M031,0.53,97,142,6378,0,Operational,2024-10-15,37
M019,2.05,114,159,8781,0,Operational,2024-12-07,37
M010,1.13,120,182,7579,0,Operational,2024-09-04,37
M043,2.86,108,141,2442,41,Failed,2024-06-29,37
M030,2.08,101,174,2970,74,Needs Maintenance,2024-06-25,37
M028,2.67,101,115,2787,27,Failed,2024-11-01,37
M019,2.05,114,159,8781,0,Operational,2024-04-22,38
M005,1.26,84,178,6414,0,Operational,2024-10-10,38
M028,2.67,101,115,2787,27,Failed,2024-02-27,38
M039,2.71,63,109,7048,0,Operational,2024-09-02,38
M016,0.67,73,198,9188,0,Operational,2024-01-17,38
M007,2.85,64,105,5697,80,Needs Maintenance,2024-11-22,38
M048,1.09,102,194,5087,0,Operational,2024-08-17,38
M001,0.59,77,181,4250,75,Needs Maintenance,2024-04-26,38
M032,0.67,71,198,3685,44,Needs Maintenance,2024-03-16,38
M013,1.69,61,179,8845,0,Operational,2024-09-02,38
M032,0.67,71,198,3685,44,Needs Maintenance,2024-07-21,39
M003,1.13,113,107,4038,55,Failed,2024-02-13,39
M011,1.96,85,106,8906,0,Operational,2024-12-31,39
M042,2.79,79,143,7480,0,Operational,2024-01-15,39
M035,1.25,78,172,2345,8,Needs Maintenance,2024-09-08,39
M031,0.53,97,142,6378,0,Operational,2024-09-06,39
M009,0.3,79,128,4982,78,Needs Maintenance,2024-03-13,39
M020,0.65,62,132,1738,0,Operational,2024-06-17,39
M018,2.69,93,178,5200,0,Operational,2024-04-17,39
M024,0.54,91,187,9145,0,Operational,2024-03-25,39
M019,2.05,114,159,8781,0,Operational,2024-02-10,40
M019,2.05,114,159,8781,0,Operational,2024-01-21,40
M006,1.62,67,190,9020,0,Operational,2024-02-29,40
M046,0.28,102,147,3545,38,Needs Maintenance,2024-07-05,40
M022,0.68,107,123,5729,90,Failed,2024-05-09,40
M028,2.67,101,115,2787,27,Failed,2024-01-13,40
M024,0.54,91,187,9145,0,Operational,2024-02-19,40
M023,0.52,81,165,3727,17,Failed,2024-09-04,40
M030,2.08,101,174,2970,74,Needs Maintenance,2024-11-14,40
M025,2.07,68,177,9054,71,Needs Maintenance,2024-05-21,40
M011,1.96,85,106,8906,0,Operational,2024-09-04,41
M009,0.3,79,128,4982,78,Needs Maintenance,2024-07-24,41
M010,1.13,120,182,7579,0,Operational,2024-05-24,41
M015,2.32,99,166,8487,0,Operational,2024-01-24,41
M044,2.5,105,152,2105,50,Failed,2024-07-26,41
M049,0.34,92,144,3120,0,Operational,2024-11-06,41
M007,2.85,64,105,5697,80,Needs Maintenance,2024-05-18,41
M005,1.26,84,178,6414,0,Operational,2024-01-17,41
M049,0.34,92,144,3120,0,Operational,2024-05-13,41
M047,0.73,118,152,6104,98,Needs Maintenance,2024-12-04,41
M008,2.95,100,149,5055,86,Failed,2024-05-28,42
M025,2.07,68,177,9054,71,Needs Maintenance,2024-11-14,42
M040,2.95,75,176,6559,57,Needs Maintenance,2024-10-25,42
M015,2.32,99,166,8487,0,Operational,2024-03-27,42
M037,1.21,112,160,8591,85,Failed,2024-05-20,42
M031,0.53,97,142,6378,0,Operational,2024-12-28,42
M023,0.52,81,165,3727,17,Failed,2024-02-08,42
M023,0.52,81,165,3727,17,Failed,2024-09-16,42
M046,0.28,102,147,3545,38,Needs Maintenance,2024-12-10,42
M046,0.28,102,147,3545,38,Needs Maintenance,2024-08-16,42
M046,0.28,102,147,3545,38,Needs Maintenance,2024-03-15,43
M041,0.4,112,148,8699,75,Needs Maintenance,2024-06-08,43
M026,0.37,109,131,3285,15,Failed,2024-05-30,43
M002,2.8,95,102,5011,46,Failed,2024-02-02,43
M042,2.79,79,143,7480,0,Operational,2024-05-27,43
M049,0.34,92,144,3120,0,Operational,2024-09-16,43
M043,2.86,108,141,2442,41,Failed,2024-01-23,43
M031,0.53,97,142,6378,0,Operational,2024-02-15,43
M005,1.26,84,178,6414,0,Operational,2024-03-08,43
M037,1.21,112,160,8591,85,Failed,2024-09-15,43
M006,1.62,67,190,9020,0,Operational,2024-02-27,44
M049,0.34,92,144,3120,0,Operational,2024-02-19,44
M046,0.28,102,147,3545,38,Needs Maintenance,2024-10-20,44
M013,1.69,61,179,8845,0,Operational,2024-10-03,44
M015,2.32,99,166,8487,0,Operational,2024-09-11,44
M015,2.32,99,166,8487,0,Operational,2024-05-20,44
M033,2.45,113,128,3782,23,Failed,2024-05-30,44
M013,1.69,61,179,8845,0,Operational,2024-12-10,44
M039,2.71,63,109,7048,0,Operational,2024-08-23,44
M008,2.95,100,149,5055,86,Failed,2024-06-09,44
M007,2.85,64,105,5697,80,Needs Maintenance,2024-06-18,45
M020,0.65,62,132,1738,0,Operational,2024-11-15,45
M017,2.2,101,123,8681,0,Operational,2024-10-11,45
M040,2.95,75,176,6559,57,Needs Maintenance,2024-01-28,45
M002,2.8,95,102,5011,46,Failed,2024-09-23,45
M034,2.71,120,193,2864,35,Needs Maintenance,2024-06-26,45
M029,1.27,98,108,4450,27,Failed,2024-05-01,45
M039,2.71,63,109,7048,0,Operational,2024-10-27,45
M005,1.26,84,178,6414,0,Operational,2024-03-03,45
M028,2.67,101,115,2787,27,Failed,2024-05-19,45
M042,2.79,79,143,7480,0,Operational,2024-10-13,46
M050,2.26,77,184,7966,0,Operational,2024-05-06,46
M003,1.13,113,107,4038,55,Failed,2024-06-19,46
M037,1.21,112,160,8591,85,Failed,2024-02-16,46
M025,2.07,68,177,9054,71,Needs Maintenance,2024-07-01,46
M002,2.8,95,102,5011,46,Failed,2024-06-25,46
M043,2.86,108,141,2442,41,Failed,2024-04-20,46
M048,1.09,102,194,5087,0,Operational,2024-05-30,46
